@relation MessageChains

@attribute NOTI REAL
@attribute class {0,1}

@Data
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-1.0,0
0.0,0
-1.0,0
-1.0,0
0.0,0
0.0,0
-1.0,0
-1.0,0
-1.0,0
0.0,0
-1.0,0
0.0,0
-1.0,0
-1.0,0
1.0,0
0.0,0
-1.0,0
-1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
-1.0,0
-1.0,0
1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
-1.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
2.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
3.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
-1.0,0
-1.0,0
-1.0,0
1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
-1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
-1.0,0
-1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
-1.0,0
0.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
2.0,0
0.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
-1.0,0
-1.0,0
-1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
-1.0,0
1.0,0
1.0,0
-1.0,0
0.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
1.0,0
0.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
-1.0,0
0.0,0
-1.0,0
-1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
-1.0,0
0.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
-1.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
-1.0,0
1.0,0
-1.0,0
-1.0,0
-1.0,0
0.0,0
0.0,0
-1.0,0
0.0,0
-1.0,0
1.0,0
0.0,0
0.0,0
-1.0,0
0.0,0
1.0,0
0.0,0
-1.0,0
0.0,0
1.0,0
-1.0,0
-1.0,0
0.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
